v(b0) v(b1) v(b2) v(b3) v(b4) v(b5) v(b6) i(Viout) v(Vout)
0 0 0 1 1 1 0 4.70265173E-05 1.8
1 0 0 1 1 1 0 4.72574956E-05 1.8
0 1 0 1 1 1 0 4.78832595E-05 1.8
1 1 0 1 1 1 0 4.82405577E-05 1.8
0 0 1 1 1 1 0 4.95329185E-05 1.8
1 0 1 1 1 1 0 4.98687637E-05 1.8
0 1 1 1 1 1 0 5.06442425E-05 1.8
1 1 1 1 1 1 0 5.11008468E-05 1.8
0 0 0 0 0 0 1 7.80353324E-05 1.8
1 0 0 0 0 0 1 7.80732389E-05 1.8
0 1 0 0 0 0 1 7.82437582E-05 1.8
1 1 0 0 0 0 1 7.83566886E-05 1.8
0 0 1 0 0 0 1 7.88834902E-05 1.8
1 0 1 0 0 0 1 7.90148054E-05 1.8
0 1 1 0 0 0 1 7.93544575E-05 1.8
1 1 1 0 0 0 1 7.95546541E-05 1.8
0 0 0 1 0 0 1 8.10438734E-05 1.8
1 0 0 1 0 0 1 8.11742908E-05 1.8
0 1 0 1 0 0 1 8.15534724E-05 1.8
1 1 0 1 0 0 1 8.17721929E-05 1.8
0 0 1 1 0 0 1 8.26068988E-05 1.8
1 0 1 1 0 0 1 8.2817158E-05 1.8
0 1 1 1 0 0 1 8.33218164E-05 1.8
1 1 1 1 0 0 1 8.36184381E-05 1.8
0 0 0 0 1 0 1 8.7707674E-05 1.8
1 0 0 0 1 0 1 8.78194041E-05 1.8
0 1 0 0 1 0 1 8.81870136E-05 1.8
1 1 0 0 1 0 1 8.84009191E-05 1.8
0 0 1 0 1 0 1 8.92774742E-05 1.8
1 0 1 0 1 0 1 8.9487778E-05 1.8
0 1 1 0 1 0 1 9.00064262E-05 1.8
1 1 1 0 1 0 1 9.03073086E-05 1.8
0 0 0 1 1 0 1 9.22990889E-05 1.8
1 0 0 1 1 0 1 9.24887575E-05 1.8
0 1 0 1 1 0 1 9.30094701E-05 1.8
1 1 0 1 1 0 1 9.33073822E-05 1.8
0 0 1 1 1 0 1 9.43985391E-05 1.8
1 0 1 1 1 0 1 9.46799509E-05 1.8
0 1 1 1 1 0 1 9.53351143E-05 1.8
1 1 1 1 1 0 1 9.57206864E-05 1.8
0 0 0 0 0 1 1 0.000105939748 1.8
1 0 0 0 0 1 1 0.00010602162 1.8
0 1 0 0 0 1 1 0.000106323662 1.8
1 1 0 0 0 1 1 0.000106508217 1.8
0 0 1 0 0 1 1 0.000107293804 1.8
1 0 1 0 0 1 1 0.000107481628 1.8
0 1 1 0 0 1 1 0.000107953239 1.8
1 1 1 0 0 1 1 0.000108228052 1.8
0 0 0 1 0 1 1 0.000110173088 1.8
1 0 0 1 0 1 1 0.000110347613 1.8
0 1 0 1 0 1 1 0.000110838982 1.8
1 1 0 1 0 1 1 0.000111120313 1.8
0 0 1 1 0 1 1 0.000112174089 1.8
1 0 1 1 0 1 1 0.000112440469 1.8
0 1 1 1 0 1 1 0.000113070336 1.8
1 1 1 1 0 1 1 0.000113439619 1.8
0 0 0 0 1 1 1 0.000118042194 1.8
1 0 0 0 1 1 1 0.000118187212 1.8
0 1 0 0 1 1 1 0.000118642804 1.8
1 1 0 0 1 1 1 0.000118905102 1.8
0 0 1 0 1 1 1 0.000119950155 1.8
1 0 1 0 1 1 1 0.000120203474 1.8
0 1 1 0 1 1 1 0.000120823071 1.8
1 1 1 0 1 1 1 0.000121182723 1.8
0 0 0 1 1 1 1 0.000123470953 1.8
1 0 0 1 1 1 1 0.000123699196 1.8
0 1 0 1 1 1 1 0.000124313728 1.8
1 1 0 1 1 1 1 0.000124664692 1.8
0 0 1 1 1 1 1 0.000125927532 1.8
1 0 1 1 1 1 1 0.000126257735 1.8
0 1 1 1 1 1 1 0.000127017654 1.8
1 1 1 1 1 1 1 0.000127465867 1.8
