v(b0) v(b1) v(b2) v(b3) v(b4) v(b5) v(b6) i(Viout) v(Vout)
0 0 0 0 1 1 0 6.11546874E-05 1.8
1 0 0 0 1 1 0 6.13255258E-05 1.8
0 1 0 0 1 1 0 6.14635597E-05 1.8
1 1 0 0 1 1 0 6.14956566E-05 1.8
0 0 1 0 1 1 0 6.16669956E-05 1.8
1 0 1 0 1 1 0 6.16921292E-05 1.8
0 1 1 0 1 1 0 6.17030511E-05 1.8
1 1 1 0 1 1 0 6.17052972E-05 1.8
0 0 0 1 1 1 0 6.19152724E-05 1.8
1 0 0 1 1 1 0 6.1934603E-05 1.8
0 1 0 1 1 1 0 6.1947367E-05 1.8
1 1 0 1 1 1 0 6.19498041E-05 1.8
0 0 1 1 1 1 0 6.19642102E-05 1.8
1 0 1 1 1 1 0 6.19665176E-05 1.8
0 1 1 1 1 1 0 6.19676669E-05 1.8
1 1 1 1 1 1 0 6.19679196E-05 1.8
0 0 0 0 0 0 1 9.5037259E-05 1.8
1 0 0 0 0 0 1 9.62894087E-05 1.8
0 1 0 0 0 0 1 9.76373984E-05 1.8
1 1 0 0 0 0 1 9.81065558E-05 1.8
0 0 1 0 0 0 1 0.000100472426 1.8
1 0 1 0 0 0 1 0.000101159066 1.8
0 1 1 0 0 0 1 0.000101412426 1.8
1 1 1 0 0 0 1 0.000101459489 1.8
0 0 0 1 0 0 1 0.000106286778 1.8
1 0 0 1 0 0 1 0.000107167647 1.8
0 1 0 1 0 0 1 0.000107666369 1.8
1 1 0 1 0 0 1 0.000107754303 1.8
0 0 1 1 0 0 1 0.000108207877 1.8
1 0 1 1 0 0 1 0.000108271542 1.8
0 1 1 1 0 0 1 0.000108302018 1.8
1 1 1 1 0 0 1 0.000108308596 1.8
0 0 0 0 1 0 1 0.000118135503 1.8
1 0 0 0 1 0 1 0.000119185507 1.8
0 1 0 0 1 0 1 0.000120013763 1.8
1 1 0 0 1 0 1 0.000120204039 1.8
0 0 1 0 1 0 1 0.000121151975 1.8
1 0 1 0 1 0 1 0.0001212862 1.8
0 1 1 0 1 0 1 0.000121342965 1.8
1 1 1 0 1 0 1 0.000121354503 1.8
0 0 0 1 1 0 1 0.000122345529 1.8
1 0 0 1 1 0 1 0.000122427978 1.8
0 1 0 1 1 0 1 0.0001224812 1.8
1 1 0 1 1 0 1 0.000122491258 1.8
0 0 1 1 1 0 1 0.000122549887 1.8
1 0 1 1 1 0 1 0.000122559161 1.8
0 1 1 1 1 0 1 0.000122563767 1.8
1 1 1 1 1 0 1 0.000122564764 1.8
0 0 0 0 0 1 1 0.000142255515 1.8
1 0 0 0 0 1 1 0.00014358568 1.8
0 1 0 0 0 1 1 0.000144891444 1.8
1 1 0 0 0 1 1 0.000145278618 1.8
0 0 1 0 0 1 1 0.0001473606 1.8
1 0 1 0 0 1 1 0.000147788736 1.8
0 1 1 0 0 1 1 0.000147957682 1.8
1 1 1 0 0 1 1 0.000147990731 1.8
0 0 0 1 0 1 1 0.000151174399 1.8
1 0 0 1 0 1 1 0.000151472795 1.8
0 1 0 1 0 1 1 0.000151649532 1.8
1 1 0 1 0 1 1 0.000151681838 1.8
0 0 1 1 0 1 1 0.000151860364 1.8
1 0 1 1 0 1 1 0.000151887171 1.8
0 1 1 1 0 1 1 0.000151900256 1.8
1 1 1 1 0 1 1 0.0001519031 1.8
0 0 0 0 1 1 1 0.000155337778 1.8
1 0 0 0 1 1 1 0.000155483206 1.8
0 1 0 0 1 1 1 0.000155601591 1.8
1 1 0 0 1 1 1 0.000155629216 1.8
0 0 1 0 1 1 1 0.000155777462 1.8
1 0 1 0 1 1 1 0.000155799294 1.8
0 1 1 0 1 1 1 0.00015580879 1.8
1 1 1 0 1 1 1 0.000155810744 1.8
0 0 0 1 1 1 1 0.000155994495 1.8
1 0 0 1 1 1 1 0.000156011728 1.8
0 1 0 1 1 1 1 0.00015602278 1.8
1 1 0 1 1 1 1 0.000156024947 1.8
0 0 1 1 1 1 1 0.000156037649 1.8
1 0 1 1 1 1 1 0.000156039712 1.8
0 1 1 1 1 1 1 0.000156040681 1.8
1 1 1 1 1 1 1 0.000156040905 1.8
